|building_address_city|List Date|Close Date|days_on_market|Sale Price|Sq. Ft.|price_per_sqft|Agent|Buyer Agent|Listing Broker|Buyer Broker|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale Price int|price_per_sqft_int|year
5|Faena House 3315 Collins Ave 8C Miami Beach|8/31/2021|4/1/2022|179|$5,800,000.00|3428|$2,591.60|Oliver Lloyd|Rachael Taylor|Not Available|Not Available|Faena House 3315 Collins Ave 8C Miami Beach|Faena House |3315 Collins Ave 8C Miami Beach|FAENA HOUSE, 3315 Collins Ave #8c, Miami Beach, FL 33140, USA|(25.8078488, -80.1232302, 0.0)|25.8078488|-80.1232302|0.0|5800000.0|2591.6|2021
10|1 Hotel & Homes 102 24th St PH-1717 Miami Beach|1/14/2022|4/6/2022|69|$10,600,000.00|2863|$3,702.41|Jennifer Restrepo|Alexa Lemieux|Not Available|Not Available|1 Hotel & Homes 102 24th St PH-1717 Miami Beach||1 Hotel & Homes 102 24th St PH-1717 Miami Beach|102 24th St, Miami Beach, FL 33139, USA|(25.7998444, -80.1269823, 0.0)|25.7998444|-80.1269823|0.0|10600000.0|3702.41|2021
11|St Regis 9701 Collins Ave 2303S Bal Harbour|10/27/2021|4/5/2022|128|$9,000,000.00|3556|$2,530.93|Daniel Silverstein|Menachem Fellig|Not Available|Not Available|St Regis 9701 Collins Ave 2303S Bal Harbour|St Regis |9701 Collins Ave 2303S Bal Harbour|9701 Collins Ave #2303s, Miami Beach, FL 33154, USA|(25.8884913, -80.1228812, 0.0)|25.8884913|-80.1228812|0.0|9000000.0|2530.93|2021
12|1 Hotel & Homes 102 24th St PH-1706 Miami Beach|2/24/2022|4/5/2022|8|$7,500,000.00|2814|$2,938.87|Tracy Galya|Alberto Esquenazi|Not Available|Not Available|1 Hotel & Homes 102 24th St PH-1706 Miami Beach||1 Hotel & Homes 102 24th St PH-1706 Miami Beach|102 24th St, Miami Beach, FL 33139, USA|(25.7998444, -80.1269823, 0.0)|25.7998444|-80.1269823|0.0|7500000.0|2938.87|2021
13|One Thousand Museum 1000 Biscayne Blvd 2201 Miami|1/13/2022|4/4/2022|67|$6,975,000.00|4600|$1,516.30|Sonia Toth|Shawn Gamarra|Not Available|Not Available|One Thousand Museum 1000 Biscayne Blvd 2201 Miami|One Thousand Museum |1000 Biscayne Blvd 2201 Miami|1000 Biscayne Blvd #2201, Miami, FL 33132, USA|(25.784171, -80.1900783, 0.0)|25.784171|-80.1900783|0.0|6975000.0|1516.3|2021
14|Faena House 3315 Collins Ave 7C Miami Beach|11/10/2021|4/8/2022|121|$5,600,000.00|3428|$2,502.23|Eloy Carmenate|Ethan Pickett|Not Available|Not Available|Faena House 3315 Collins Ave 7C Miami Beach|Faena House |3315 Collins Ave 7C Miami Beach|FAENA HOUSE, 3315 Collins Ave #7c, Miami Beach, FL 33140, USA|(25.8078488, -80.1232302, 0.0)|25.8078488|-80.1232302|0.0|5600000.0|2502.23|2021
15|Park Grove 2821 S Bayshore Dr 11A Miami|2/17/2022|4/6/2022|18|$5,200,000.00|3233|$1,608.41|Ana Prado Contti|Jacqueline Molina|Not Available|Not Available|Park Grove 2821 S Bayshore Dr 11A Miami|Park Grove |2821 S Bayshore Dr 11A Miami|2821 S Bayshore Dr #11a, Miami, FL 33133, USA|(25.7283709, -80.238272, 0.0)|25.7283709|-80.238272|0.0|5200000.0|16084.13|2021
16|Grove at Grand Bay 2669 S Bayshore Dr 1501N Miami|2/18/2022|4/4/2022|15|$5,025,000.00|3361|$1,495.09|Cyril Bijaoui|Judith Werner|Not Available|Not Available|Grove at Grand Bay 2669 S Bayshore Dr 1501N Miami|Grove at Grand Bay |2669 S Bayshore Dr 1501N Miami|2669 S Bayshore Dr #1501n, Miami, FL 33133, USA|(25.7306572, -80.2370979, 0.0)|25.7306572|-80.2370979|0.0|5025000.0|1495.09|2021
17|Bayside 2333 Fisher Island Dr 4303 Miami Beach|3/7/2022|4/5/2022|12|$3,590,000.00|1847|$1,943.69|Robert Vole|Jorge Escasena|Not Available|Not Available|Bayside 2333 Fisher Island Dr 4303 Miami Beach|Bayside |2333 Fisher Island Dr 4303 Miami Beach|2333 Fisher Island Dr #4303, Miami Beach, FL 33109, USA|(25.7589251, -80.143131, 0.0)|25.7589251|-80.143131|0.0|3590000.0|1943.69|2021
18|Ocean Three Condo 18911 Collins Ave 1601 Sunny Isles Beach|1/27/2022|4/4/2022|48|$3,550,000.00|3945|$899.87|Daniel Alitenssi|Lana Shvartsburd|Not Available|Not Available|Ocean Three Condo 18911 Collins Ave 1601 Sunny Isles Beach|Ocean Three Condo |18911 Collins Ave 1601 Sunny Isles Beach|18911 Collins Ave APT 1601, Sunny Isles Beach, FL 33160, USA|(25.9509344, -80.11988579999999, 0.0)|25.9509344|-80.11988579999999|0.0|3550000.0|899.87|2021
